item_code,name,units,mrp,cost,stock
100099498.0,Oreva Wall Clock Aq1237,PCS,25.0,0.0,0.0
100025913.0,Hd Hard Disc Cover Hd06,PCS,26.25,0.0,0.0
100003288.0,Music Multimedia Speaker,PCS,23.1,0.0,0.0
100003293.0,Music Bluetooth Speaker,PCS,21.0,0.0,0.0
100003297.0,Multimedia Speaker(Bo-A11,PCS,26.25,0.0,0.0
100017790.0,Geepas Usb Speaker Gms8416,PCS,23.65,0.0,0.0
100017807.0,Geepas Usb Speaker Gms8419,PCS,45.0,0.0,0.0
100023462.0,Geepas Usb Speaker 8418,PCS,47.25,0.0,0.0
100025943.0,Coca Cola Multimedia Speaker,PCS,10.5,0.0,0.0
100025950.0,Fountain Running Speaker W/Music,PCS,21.0,0.0,0.0
100025951.0,Dancing Water Speaker,PCS,84.0,0.0,0.0
100140039.0,Smartberry Speaker W/Mic M-103,PCS,85.0,0.0,1.0
100026110.0,The Quran Pen 8Gb,PCS,52.5,0.0,0.0
100025210.0,Fm Modulator Everon Ed41,PCS,21.0,0.0,0.0
100025884.0,Everon Car Fm.Mp3 Transmitter Ed52,PCS,28.35,0.0,0.0
100025894.0,Bolice Mp3 Fm Modulator,PCS,18.4,0.0,0.0
100025898.0,Griffin Portable Audio Device,PCS,10.5,0.0,0.0
100025922.0,Toshiba Hard Drive 1Tb To Dtb310,PCS,273.0,0.0,0.0
100025923.0,Toshiba Hard Drive 500Gb Go Dtb305,PCS,210.0,0.0,0.0
100025927.0,Wd Element Hard Drive 1Tb,PCS,105.0,0.0,0.0
100025928.0,Wd Element Hard Drive 500Gb,PCS,126.0,0.0,0.0
100013646.0,Nitech Keyboard-K3031,PCS,31.5,0.0,0.0
100023213.0,Mini Multimedia Keyboard,PCS,33.6,0.0,0.0
100025824.0,Microsoft Wireless Key Board 800,PCS,136.5,0.0,0.0
